academia cursor	akatemian vahtimestari	academy janitor
lösdrivare	irtolainen, löysä, löysäläinen	vagrant
löshjon	päiväläinen	daily worker
löskarl	itsellinen	lodger, person living in other people's home either for rent, for work or paid by social welfare
löskekarl	kulkuri, irtolainen	tramp, vagrant
magiker	taikuri	magician
magister	maisteri	master´s degree
majmisteri	majamies, kauppias joka majoitti kaupungissa käyviä talonpoikia ja vastaavasti kauppiaan luona majaileva talonpoika	merchant accommodating peasants visiting the city, peasant being accommodated
major	majuri	major
malmletare	malminetsijä	ore seeker
marinläkare	laivastonlääkäri	navy doctor, navy medical officer
marinsoldat	merisotilas	navy troop, seaman
marketentare	muonakauppias, salakapakoitsija	provision merchant, runner of a speakeasy
markgrefve	markiisi	marquis
markis	markiisi	marquis
marodör	rosvosoturi	corsair
marskalk	marsalkka	marshal, usher
maskinchef	laivan konepäällikkö	chief engineer (ship)
maskinist	koneenkäyttäjä	engineer (ship), machinist (factory)
matmor	talon emäntä	hostess, female farmer
matros	matruusi	seaman, sailor
medborgersman	takauskumppani	guarantor partner
medbrottslig	rikoskumppani	accomplice
medgäldenär	velkakumppani	debt partner
medicine licensiat	lääketieteen lisensiaatti	licentiate of medicine
medikus	lääkäri	physician, doctor
medregent	varakuningas	viceroy
mekaniker	mekaanikko	mechanic
menig	sotamies	private soldier
mentor	ohjaaja, opastaja	mentor
miles	sotilas	soldier
militärläkare	armeijan lääkäri	army doctor, army medical officer
ministerii adjunctus	papistonapulainen	clergy assistant
minister verbi divini	jumalallisen sanan palvelija	theologian
minutförsäljare	vähittäismyyjä	retailer
missdådare	pahantekijä	malefactor
missionär	lähetyssaarnaaja	missonary
mjölkbud	maitomies	milkman
mjölnare	mylläri	miller
modellsnickare	mallipuuseppä	pattern-maker
modist	modisti	milliner
monark	hallitsija, yksinvaltias	monarch
munk	munkki	monk
munskänk	juomanlaskija	cup-bearer
muntrationsråd	huvimestari, seremoniamestari	master of ceremonies
murare	muurari	mason, bricklayer
murmästare	muurarimestari	master mason
murarmästare	muurarimestari	master mason
murlärling	muurarioppilas	mason's apprentice
musikant	musikantti	musician
musikka	talonpoika, maalainen, moukka (ven. muzhik)	peasant
musketör, musqueteur	musketööri	musketeer
myndling	holhokki	ward
myntförfalskare	rahanväärentäjä	counterfeiter
mystiker	mystikko	mystic
målare	maalari	painter, house-painter
målsman	edusmies, holhooja	guardian, one who is legally responsible for the care and management of the person
mäklare	kaupan välittäjä, meklari	broker, auctioneer
mässuppassare	messipoika	messman
mästare	mestari	master
mästerlots	luotsimestari	master pilot, senior pilot
mästerman	mestaaja	executioner
mätisman	arviomies	valuator, estimator, assessor
mönsterherre	katselmusherra	enrolment chief
mönsterskrivare	katselmuskirjuri, komppanian kassanhoitaja (sot.)	enrolment clerk, company cashier (mil.)
napagumma	napamuori, kätilö	midwife
narr	ilveilijä	joker, clown
nattvakt	yövartija	night guard
nomad	paimentolainen	nomad
notarie	notaari	notary
nunna	nunna	nun
nybyggare	uudisasukas	settler
nödåhrspredikant	armovuoden saarnaaja, Konsistorin eli Tuomiokapitulin määräämä viransijainen ns. armovuodelle eli ajalle jolloin edesmenneen papin leski sai jäädä virkatilalle ja nauttia sen tuottoa	a deputy priest assigned to substitute a dead priest during a so called "grace year", which described the time period when the late priest's widow was allowed to stay living at the estate
nålmakare	neulaseppä	needle smith
nämndeman	lautamies	juror, lay asessor
oeconomic komissarie	taloustarkastaja, -komissaari	inspector of local finances
oeconomus templi	tuomiokirkon taloudenhoitaja	cathedral treasurer
odalbonde, odalman	pientilallinen	yeoman
officiant	toimitusmies	cadastral officer
officer	upseeri	officer
ombudsman	asiamies	representative
ordförande	puheenjohtaja	chairman
ordningsman	järjestysmies	security guard
orgelnist	urkuri	organist (pipe organ)
orgeltrampare	urkujenpolkija	calcant, organ bellows-pumper
packare	pakkaaja	packer
packhusinspektor	pakkahuoneen esimies	warehouse inspector
page	hovipoika	page
pajari	venäläinen aatelismies (ven. bojarin)	Russian nobile man
pannmakare	kattilantekijä	kettle maker
pantfogde	panttivouti	pawnbroker
paraplymakare	sateenvarjontekijä	umbrella maker
parisniekka (ven. baryshnik)	eläinten kauppias, hevoshuijari	animal salesman, horse swindler
parochus	seurakunnan esipappi	parochial intercession priest
passare	passari, naispuolinen tarjoilija pidoissa (vrt. skänkare)	waitress, female cup-bearer (comp. skänkare)
pastor	pastori, kirkkoherra	pastor, vicar, minister
pastor adjunkt	apulaiskirkkoherra	vice vicar
pastor primarius	ensimmäinen pastori =arvonimi, joskus kirkkoherran virkanimi	first pastor
patricier	patriisi, ylimys	patrician
patron	patruuna, maanomistaja	master, land owner
patrull	kulkuvahti	patrol
pedagog	opettaja	teacher
pensionär	eläkeläinen	retired, pensioner
personalchef	henkilöstöpäällikkö	staff manager
peruquemakare, perukmakare	peruukintekijä	wig maker
piga	piika	maid-servant, maid
piissari	kirjuri (ven. pisar)	scribe
piket	vartio	patrol, watch
pionier	pioneeri, vallinkaivaja	engineer, sapper
pirat	merirosvo	pirate
pipare	torvensoittaja	trumpeter, hornblower
pistolsmed	aseseppä	gunsmith
placemajor	linnamajuri	fort major
ploginstuktör	kynnönneuvoja	ploughing advisor, agriculture consultant
plåtslagare	läkkiseppä	sheet-metal worker
poet	runoilija	poet
polis	poliisi	policeman, police officer
polisinspektör	poliisitarkastaja	police inspector
polisintendent	apulaispoliisipäällikkö	deputy police chief, assistant chief constable, assistant police commissioner
polismästare	poliisimestari	chief constable, police commissioner
politierådman	kunnanvaltuuston jäsen	alderman, member of city council or town council
politikarl	rankkuri, järjestysmies	dogcatcher, security guard
populi	alunperin kaskiviljelijä kruunun maalla, myöhemmin veroa maksava talonpoika; venäjällä 'bobyl' tarkoitti maatonta talonpoikaa, mökkiläistä	originally farmer on crown land, later a tax paying farmer; in Russia a farmer not owning the land
possessionat	tilanomistaja	farm owner
postbud	postimies	mailman
postexpeditör	postivirkailija	mail official, post-office clerk
postförare	postinkuljettaja	postman, mailman
post inspectör	postitarkastaja	post-office inspector
postförvaltare	postinhoitaja	post-office intendent
postillion	postiljooni	postman, mailman
postmästare	postimestari	postmaster
posttjänsteman	postivirkailija	post-office clerk
praeceptor	opettaja	teacher
praedi inspector	tilan pehtoori	farm inspector
praepositus	rovasti	dean
praepositus contractus	lääninrovasti	county dean
praepositus honorarius	kunniarovast	honorary dean
praeses consistorii	konsistorin esimies	superintendent of the department of justice (in Church)
praesul	piispa	bishop
preceptor	opettaja	teacher
predikant	saarnaaja	preacher
prefekt	yliopiston tiedekunnan esimies	director of a university department
prelat	esipappi	prelate
premierlöjtnant	laivaston komentajaluutnantti	lieutenant- commander (navy)
preparatris	laboratorioteknikko	laboratory technician
preses	puheenjohtaja	president, chairman
principal	isäntä	master
prisdomare	palkintotuomari	judge (in a contest)
probant	koetti, koeajalla oleva	probationer
producent	tuottaja	producer
profoss	sotapoliisi	military prosecutor
profryttare	kaupparatsu, matkasaksa, laukkuryssä	travelling salesman
prokansler	sijaiskansleri	vice chancellor
prokurist	johtava virkamies	managing clerk, procurator
proselytmakare	(uskoon) käännyttäjä	converter (to a religion)
prost	rovasti	dean
prostinna	rovastin vaimo, ruustinna	dean´s wife
protokollssecreterare, protokollist	pöytäkirjasihteeri, pöytäkirjanpitäjä	recording secretary (keeping the minutes)
provinsialläkare, provincial medicus doktor	lääninlääkäri	county doctor, district medical officer
provisionshandlande	kaupparatsu 1700 -luvulla, armeijan muonan hankkija	salesman, tradesman who was in charge of food and supply with provisions
provisor	proviisori	chemist, assistant chemist
präst, prästman	pappi	priest, clergyman, minister
publicist	kustantaja	publisher
pukslagare	patarummunlyöjä, sotilassoittaja	kettle drummer
pulsator companae	kellonsoittaja	bell ringer
pulsator orgam	urkujenpolkija	calcant, organ bellows-pumper
pungmakare, pungamakare	laukuntekijä, kukkarontekijä	bag maker, purse maker
pykmestari	ks. byggmästare	see byggmästare
påfve	paavi	Pope
påskärare	puoskari	quack
pälsmakare	turkintekijä	furrier
qvacksalvare	puoskari	quack, medicine man
qvarterier	majoittaja	quarterman
raassali	kalakauppias, karjakauppias (ven. prasol)	fishmonger, cattle merchant
rackare	pyövelinrenki, rankkuri, nahan nylkijä (hyvin alhainen status, käytetty haukkumasanana)	executioner's assistant, dogcatcher, skinner (very low status)
ransakningsfånge	rangaistusvanki	punishment prisoner
recerendus dominus	kunnianarvoisa herra, pappi	honourable man, clergyman
receptarie	farmaseutti, apteekkari	pharmacist
rector, rektor	rehtori	headmaster, principal, vice-chancellor
rector amanuens, rektor amanuens	apulaisrehtori	deputy headmaster
redaktör	toimittaja	editor
redare	laivanvarustaja	shipowner
redogörare	tilintekijä	accountant
referendariesekreterare	esittelijäsihteeri	reference secretary
regent	hallitsija	regent
registrator	verokirjuri	registrar
regissör	ohjaaja (näytelmän tai elokuvan)	director (of a play or a movie)
renherde	poropaimen	reindeer shepherd
renvårdare	poronhoitaja	reindeer attendant
renägare	poronomistaja	reindeer owner
reparatör	korjaaja	repairman
represendant	edustaja	representative
repslagare	köydenpunoja	ropetwister
restauratör	ravintolanpitäjä	restaurant keeper
revisor	tilintarkastaja	auditor
riddare	ritari	knight
ridknekt	ratsupalvelija	groom
rikassikka	kauppa-apulainen (ven. prikaztshik)	shop assistant
riksråd	valtioneuvos	cabinet minister, government councillor
rimsnidare	lauluntekijä (ivall.)	song writer (mocking name)
ritare	värvätty sotilas	draftsman, enlisted soldier
roddaregast (galär)	kaleerin soutumatruusi	galley oarsman
rotebonde, rotehållare	ruotutalollinen	division of farmers (ruotu) contributing to keep and to maintain a soldier
rotemästare	ruotumestari	division master
rotesoldat	ruotusotamies	soldier maintained by a division of farmers (ruotu)
rotfattig	ruotuvaivainen, pitäjän taloista muodostetun ruodun elättämä köyhä, kukin talo huolsi vaivaista vuorollaan	poor people living on welfare of a division of houses (ruotu) in a parish, each in turn
rorgängare	ruorimies	helmsman
rusticus	talollinen	farmer
rusthållare	ratsutilallinen	rancher, farmer that contributed to maintain cavalry soldier and horse
rustmästare	varusmestari	armorer (warrant officer)
rymmare	karkuri	deserter
ryss soldat	manttaalimies, venäläismiehityksen ajan 1713-1721 sotaväenotossa käytetty termi, yksi mies otettiin jokaista manttaalia kohti	term used for soliders drafted to Russian army during Russian occupation 1713-1721
ryttare	ratsumies	cavalry soldier
ryttare-korpral	ratsuväen korpraali	cavalry corporal
ryttmästare	ratsumestari, ratsuväen kapteeni	cavalry captain
rådman	raatimies	magistrate, member of city court, councilman
räntegifvare	veronmaksaja	taxpayer
räntmästare	varainhoitaja	treasurer
rättare	rättäri, Varsinais-Suomessa renkivouti; alunperin matkustavia auttava kyytirättäri, sitten nimismiehen alainen virkamies, joka huuti oikeudessa asianosaisia ja todistajia esiin (huutorättäri)	farm foreman in SW Finland; originally person tranporting travellers 'kyytirättäri', later sheriff's subordinate announcing people to enter sessions 'huutorättäri'
röfvare, rövare	rosvo	bandit
sacellanus	kappalainen, kappeliseurakunnan pastori tai suuren seurakunnan vakinainen apulaispappi	chaplain, curate
sacerdos	pappi	priest
sacrosanctae theologiae doctor	pyhän teologian tohtori	doctor of holy theology
sadelmakare	satulaseppä	saddler
sadelmakarmästare	satulaseppämestari	master saddler
sakförare	asianajaja	lawyer
salpetersjudare	salpietarinkeittäjä	nitre boiler
salteriäagre	suolaamonomistaja	salting-house owner
scholaris	koululainen	schoolboy, -girl
scholemästare	koulumestari	schoolmaster
schåare	ahtaaja, satamajätkä	stevedore, docker
secreterare	sihteeri	secretary
sedelhafvare	velkakirjan haltija	promissory note holder
sekreterare, sekter	sihteeri	secretary
sekterisk	lahkolainen	sectarian, dissenter
sekundant	sekundantti, apumies	second
sekundlöjtnant	aliluutnantti (laiv.)	first lieutenant (navy)
sergeant	kersantti	sergeant
servitör, servitris	tarjoilija, tarjoilijatar	waiter, waitress
servus	palvelija	servant
servus juvenis	nuorempi palvelija	junior servant
servus viduus	vanhempi palvelija	senior servant
sexman	kuudennusmies, pitäjänhallinnon toimihenkilö joka valvoi kirkkokuria ja köyhäinhoitoa	"sixth man", parish supervisor, controlling eg. people's habits and manners and social welfare
signalist	merkinantaja	signaller
sirutniekka	parturi (ven. tsyrjulnik)	barber
sjuksköterska	sairaanhoitaja	nurse
själasörjare	sielunpaimen	spiritual guide, "soulshepherd"
sjöbefäl	laivan kapteeni	captain (ship)
sjökapten	merikapteeni	sea captain
sjöman	merimies	seaman, sailor
sjöofficer	laivaston upseeri	navy officer
sjötulls vigtmästare	meritullin vaakamestari	harbour customs weight-master
sjötullvaktman	meritullivahti	harbour customs guard
skald	runoilija	poet
skallfogde	jahtivouti	hunt bailiff
skarprättare	mestaaja	executioner
skarpskytte	tarkka-ampuja	sharpshooter
skattebonde	verotilallinen	taxed farm owner, taxed freeholder
skatteskrivare	verokirjuri	registrar, taxation clerk
skattmästare	rahastonhoitaja	treasurer
skeppare	laivuri	skipper
skeppsbyggare	laivanrakentaja	shipbuilder
skeppsfournerare	laivatarvikkeiden varustaja	ship's chandler
skeppsklarerare	laivanselvittäjä	shipping-agent
skeppspredikant	laivasaarnaaja	ship chaplain
skeppsredare	laivanvarustaja	shipowner
skidlöpare	hiihtäjä	cross country skier
skildtvakt	vartiosotilas	soldier of a watch
skiljedomare	välitystuomari, riidanratkaisija	arbitrator
skinnare	nahkuri	skinner
skjutsbonde	kyyditsijä	driver, cabman
skjutsrättare	kyytirättäri, nimismiehen alainen virkamies maaseudulla, hoiti kyydityksiä	sheriff's subordinate transporting people to court sessions
skoflickare	kengänpaikkaaja	cobbler
skogmästare	metsänhoitaja	forester
skoginstruktör	metsänhoitoneuvoja	forestry adviser
skogvakt	metsänvartija	ranger
skojare	huijari, koijari	swindler
skolelev	koululainen	schoolboy, schoolgirl
skomakare	suutari	shoemaker
skorstensfejare	nuohooja	chimney-sweeper
skridskogångare, skridskoåkare	luistelija	skater
skrifvare	kirjuri	clerk
skräddare	räätäli	tailor
skutsbåtsman	saaristolaivuri, saaristolaivamies	leisure skipper, seaman
skyltvakt	ks. skildtvakt	see skildtvakt
skytt	ampuja	shooter
skådespelare	näyttelijä	actor
skänkare	kenkkäri, edeskäypä, juomanlaskija	waiter, male cup-bearer
skärslipare	hioja	cutter, grinder
skördare	sadonkorjaaja	harvester
sköterska	hoitaja	nurse
slaf	orja	slave
slaktare	teurastaja	butcher
slottsfogde	linnanvouti	castle bailiff
slottsknechten	linnansotamies	castle soldier
slussvakt	sulkuvartija	floodgate watch
smed	seppä	smith
smältare	lasinsulattaja	glass melter
smörexpeditör	vointoimittaja	butter deliverer
snickare	puuseppä	carpenter
snörmakare	nyörinpunoja	lace-maker, bandtwister
sockensjudare	pitäjän soodankeittäjä l. "potaskan" keittäjä	parish potash-boiler, nitre-boiler
sockerbagare	sokerileipuri	confectioner
sockerbruksarbetare	sokeritehtaan työntekijä	sugar-refinery worker
sockneman	pitäjämies	parishman
sockneadjuncten	pitäjänapulainen	parish assistant
sockneskrifvare	pitäjänkirjuri	parish clerk
soldat	sotamies	private soldier
sotare	nuohooja, sutari	chimney-sweep
spannmålstorpare	muonatorppari, muonamies, tilaton maatyöväki, teki töitä kokonaan tai osittain ruokapalkalla jollekin maatilalle, joissain paikoin Suomea myös vain satunnaisesti muutaman päivän viikossa, kuten esim. mäkitupalainen	farm worker, getting as payment a residence and goods produced on the farm as contracted
speditör	laivan huolitsija	shipping and forwarding agent
spektakelmakare	hulluttelija, "kuumakalle"	madcap
spelman	pelimanni, soittaja	player (of a musical instrument)
spinnare	kehrääjä	spinner
spinnhusknekt	kehruuhuoneen vartija, naisvanginvartija	women's prison warden, (spinning-house warden)
spion	vakooja	spy
sponsor	puhemies (takaaja)	guarantor
sporrsmed	kannusseppä	spursmith
spögubbe	unilukkari, suntio	church official, sexton, (tasks included church bell ringing and waking of those sleeping during sermon)
stabskapten	esikuntakapteeni, "alikapteeni"	headquarters captain
stads arbetskarl	kaupungin työmies	town workman
stadsbetjänt	kaupunginpalvelija	town servant
stadsbokhållare	kaupunginkirjanpitäjä	town / city book-keeper
stadsfogde	kaupunginvout	town bailiff
stadsfullmäktig	kaupunginvaltuutettu	councilman
stadsingenjör	kaupungininsinööri	city engineer
stadskassör	kaupungin rahastonhoitaja	town treasurer, city treasurer
stadsnotar	kaupungin notaari	town notary
stadstienare	kaupunginpalvelija	town servant
stadsvaktmästare	kaupunginvahtimestari	town janitor
stafett	kuriiri	messenger
stallmästare	tallimestari	stable master
statare	muonamies, ks. muonatorppari	farm worker, paid with goods produced see muonatorppari
statdräng	muonarenki	farm-hand, paid with goods produced
stationsinspektor	asematarkastaja, asemapäällikkö	station master
stationskrivare	rautatieaseman virkailija	railway clerk
statsman	valtiomies	statesman
statsråd	valtioneuvos	councillor of state
statstjänsteman	valtion virkamies	civil servant
stattorpare	muonatorppari, muonamies, tilaton maatyöväki, teki töitä kokonaan tai osittain ruokapalkalla jollekin maatilalle	farm worker, getting as payment a residence and goods produced on the farm as contracted
stenbärare	kivenkantaja	stone carrier
stenfotläggare, stensättare	kivijalanasentaja, rakennusmestari	stone foundation layer, building master
stenhuggare	kivenhakkaaja	stonemason
stenograf	pikakirjoittaja	stenographer
steward	tilanhoitaja, förvalttari, laivassa myös stuertti	steward, procurator on a farm, also ship's steward
stigare	kaivospäällysmies	foreman of a mine
stilgjutare	kirjasinvalaja	print type founder
stjärntydare	tähtitieteilijä	astronomer
stockhusfånge	vanki, stockhus = vankila	inmate, prisoner
storfurste	suuriruhtinas	Grand Duke
storfältherre	sotapäällikkö	military commander
straffånge	rangaistusvanki	prisoner in punishement cell
stridsman	soturi	warrior
student	ylioppilas	university student
studiosus	opiskelija	student
stuvare	ahtaaja	docker, stevedore, longshoreman
styckjunkare	tykkijunkkari, ylin aliupseeriarvo, myös kadetti, tykistö ei käyttänyt lippuja eikä standardeja	artillery warrant officer, also cadet
styrelsemedlem	hallituksen jäsen	board member
styresman	hallitusmies	member of the governement
styrman	perämies	mate
ståthållare	käskynhaltija, linnanherra	governor, "status holder", praetor
städerska	siivooja	cleaner
ställföreträdare	edusmies	representative
substitus sacellani	kappalaisen sijainen	deputy chaplain, deputy curate
substitus pastor	pastorin, kirkkoherran sijainen	deputy vicar
sufflör	teatterikuiskaaja	theater prompter
suntio	kirkonvartija, sontio, väkkäri, "vähälukkari", vastasi järjestyksenpidosta kirkossa erityisesti kirkonmenojen aikaan (ven. sudja)	church bailiff, responsible for order keeping in the church
superintendent (kirkossa, in church)	piispa	bishop
superkarg, superchargeur	laivarahdin ostaja tai myyjä	responsible for selling and buing of a ship's cargo
suput	alkoholisti	alcoholic, boozer
svarvare	sorvari, varvari	turner
sven	asemies, ritaria alempi aatelismies; alunperin ritarin aseenkantaja	man of nobility, lower than a knight; originally knight's armour bearer
svärdfejare	miekankahvan tekijä, miekan kiillottaja	sword-decorator, sword polisher,
synålsmakare	ompeluneulaseppä	sewing-needle smith
syssloman	toimitsija	functionary
sytning, sytningsman, sytningskvinna	eläkeläinen, eläkeläismies, eläkeläisnainen, henkilö joka saa elantonsa syytinkisopimuksessa määritellyin ehdoin luovutettuaan tilansa esim. sukupolven- vaihdoksessa	pensioner, male, female pensioner, person living on allowance that he/she got in compensation for the cession of a farm
sågbokhållare	sahan kirjanpitäjä	sawmill book-keeper
sågdreng	saharenki	sawmill hired man
sångare, sångerska	laulaja, laulajatar	singer (male), singer (female)
såningsman	kylväjä	sower
säjarmakare	kelloseppä	watch-maker
säljare	myyjä	salesman
sällskapsdam	seuraneito	lady's companion
sämskmakare	säämiskänvalmistaja	chamois-leather tanner
sändebud	lähetti, sanansaattaja	messenger
säteriägnare	säterinomistaja, rälssimaalla sijaitsevan aateliskartanon omistaja	manor-house owner, nobleman
sättare	latoja	type setter
sökande	hakija	applicant
sömmerska	ompelijatar	dressmaker
talman	puhemies	spokesman
tambourer	tambuurin soittaja, käsirummun soittaja	tambourine player
tapetserare	verhoilija	upholsterer
tattare	mustalainen, myös kiertävä metallisten kotitalousesineitten korjaaja	gipsy, also tinker
teckningslärare, teckningslärarinna	piirustuksenopettaja	art-master, art-mistress
tegelslagare	tiilentekijä	brick maker
teknolog	insinöörioppilas	engineering student
telegrafvaktman	sähköttäjä	telegraphist
tenngjutare	tinaseppä	tinsmith
tensikka	asiapoika, käskyläinen, sotilaspalvelia (ven. denshtshik)	errand boy, valet, military servant
testamentsexecutor	testamentin toimeenpanija	will executor
teolog	teologi	theologian
teologidoktor	teologian tohtori	doctor of theology
thesaurius	rahastonhoitaja	treasurer
tiakka	ortodoksinen kirkonpalvelija, lukkari (ven. djak)	Russian Orthodox precentor, cantor
tiggare	kerjäläinen	beggar
tillfångatagen	vangiksi otettu, sotavanki	prisoner or war
tillsyningsman	työnjohtaja, valvoja, vouti	overseer, bailiff
timmerman	kirvesmies, timpuri	carpenter
tingsnotarie	käräjänotaari	district court notary, law-clerk
tjuf	varas	thief
tjufgömmare	varastetun tavaran kätkijä	stolen goods broker
tjänare	palvelija	servant
tjänstehjon	palvelija, palkollinen	servant
tjänsteman	virkamies, palkannauttija	civil servant, salaried worker
tjänstepiga	palveluspiika	maid
tjänstförrättande	virkaatekevä, viranhoitaja	official
tjärhafsvakt	tervasatamanvahti	tar harbour watch
tjärvräkare	räkäri, fräkäri, tervan ja pien tarkastaja	tar and pitch quality inspector
tobaksfabrik mästare	tupakkatehtaan mestari	tobacco factory master
tolk	tulkki	interpreter
tolvman, tålfman	lautamies	lay judge
tonsättare	säveltäjä	composer
tornvakt	tornivahti	tower watch
tornväktare	torninvartija	tower guard
torpare	torppari	crofter
trafikant	liikemies	businessman
traktör	krouvari, majatalon isäntä	inn-keeper
tremänning, triplering	kolmikas, kolmen ruodun yhdessä varustama ylimääräinen sotilas 1700 luvulla Pohjan Sodassa. Kolmikkaiden piti jäädä oman maan suojaksi mutta lähtivät ulkomaille melkein heti. ks. dublering, femmänning, fyrmänning	extra soldier that was equipped cooperatively by three 'ruotus' in 1700's see dublering, tremänning, femmänning, fyrmänning
troman	luottamusmies	trustee, representative
trotjänare	uskottu palvelija	trusted servant
trumpetare	trumpetin soittaja	trumpeter
trumslagare	rumpali	drummer
trägårdsdräng	puutarharenki	garden's hired man
trägårdsmästare	puutarhuri	gardener
träl	orja	slave
tuktmästare	kurittaja	punisher
tullvisitör	tullitarkastaja	customs inspector
tullbesökare	tullimies	customs official
tullförvaltare	tullimies	customs official
tullskrivare	tullikirjuri	customs clerk
tulltjänsteman	tullivirkailija	customs official
tunnbindare	tynnyrintekijä, tunnupintari	cooper
turnare	voimistelija	gymnast
tvätterska	pesijätär	washer woman
tygmästare	asemestari	weapons' master
undantagshjon	syytinkiläinen, eläkeläinen, henkilö joka saa elantonsa syytinkisopimuksessa määritellyin ehdoin luovutettuaan tilansa esim. sukupolven- vaihdoksessa	pensioner, person living on allowance that he/she got in compensation for the cession of a farm
underackuschörska	apukätilö	assistant midwife
underbefälhavande	alipäällikkö	petty chief
underhavande	alustalainen	dependant
underlöjtnant	vänrikki (maav.), aliluutnantti (meriv.)	second lieutenant (army), sub-lieutenant (navy)
underofficier	aliupseeri	non-commissioned officer
undersköterska	apuhoitaja	assistant nurse
understyrman	aliperämies	non-commissioned mate (navy)
uppbördsman	veronkantaja	tax collector
uppbördsskrifvare	verokirjuri	tax clerk
uppfinnare	keksijä	inventor
uppsyningsman	valvoja, katsastaja	inspector
upptågsmakare	hassuttelija, pelle	prankster
urfabrigeur, urmakare	kelloseppä	watchmaker
utfattig	kerjäläinen, rutiköyhä	beggar, penniless
utredninsman	selvitysmies	administrator, executor, liquidator
utridare	kiinteistökaupanvalvoja, käskynhaltija, selvitysmies, neljännesmies	real estate sales controller, liquidator, vassal
vaccinatör	rokottaja	vaccinater
vagabond	irtolainen	vagrant
vagnmakare	vaununtekijä	cartwright, carriage-builder, coachmaker
vakhustru	sairaanhoitaja	hospital nurse
vakt	vartija	guard
vaktkonstapel	vanginvartija	warden, prison guard
vaktmästare	vartijamestari	master warden
valkare	huovuttaja, myös valkaisija	felt maker, also bleacher
vallherde, vallman	karjapaimen	cattle shepherd
vallhjon	paimen	shepherd
vallon	valloni, seppä, 1600-luvun alkupuolella Suomeen muuttanut belgialainen ammattiseppä	walloon, of Belgish smiths immigrated to Finland in the beginning of 17th century
valman	valitsija	elector
valsverskarbetare	valssaamotyöläinen, valssaaja	roller-worker
valthornist	metsätorvensoittaja	French-horn player
vantmakare	vaatteiden valmistaja	cloth maker
vapendragare	aseenkantaja	armour bearer
vargeringsman, vargeringskarl, vargkarl	nostoväen sotilas, reservisotilas	extra soldier, reserve soldier
varvari, varvali	sorvari	lathe worker
varvstimmerman	veneveistämön kirvesmies	carpenter in a shipyard or a naval yard
vasall	vasalli, läänitysmies	vassal
verbi divini minister	jumalallisen sanan palvelija	servant of divinity
verkmästare	työnjohtaja, mestari	foreman, supervisor
veterinär	eläinlääkäri	veterinarian, veterinary surgeon
vice häradshövning	varatuomari	deputy district-court judge
vice pastor	varapastori, kirkkoherraa alempien pappien arvonimi	curate, vice pastor
vikarie	papistosta puhuttaessa apulainen	clergy substitute, deputy
visiteur, visitör	tarkastaja	inspector
volontair, volontär	vapaaehtoinen armeijassa, tarjokas	voluntary, enlisted
vorniekka	talonmies, huvilanhoitaja (ven. dvornik)	janitor, keeper of a villa
vågmästare	vaakamestari	weight-master
vårdare	hoitaja	keeper
väfvare	kankuri	weaver
väg inspektor	tietarkastaja	road inspector
vägare	vaakaaja, punnitsija	weigher, weigh engineer
vägledare	opas	guide
väktare	vartija	guard
väpnare	aseenkantaja	squire
värd	isäntä	master
värdinna	talonemäntä	hostess
värneman	nostomies, reservisotilas	extra soldier, reserve soldier
väskmakare	laukuntekijä	bagmaker
vävlärarinna	kudonnanopettajatar	weaving teacher
växlare	rahanvaihtaja	money-changer
xylograf	puupiirtäjä	xylographer
zoolog	eläintieteilijä	zoologist
åbo	vuokraviljelijä, vuokralainen, asukas	tenant farmer, tenant
åkare, åkarkarl	ajuri	driver
åkervakt	peltovahti	field watch
åklagare	syyttäjä	prosecutor
ålderman	kylänvanhin, ammattikunnan vanhin, oltermanni	village alderman, master of a guild
ägare	omistaja	owner
äggrossisist	kananmunatukkuri	egg wholesaler
ängsvakt	niitynvahti	meadow watch
ärkebiskop	arkkipiispa	archbishop
ärkehertig	arkkiherttua	archduke
överauditör	ylisotatuomari	military jugde general
överfältläkare	kenttäylilääkäri	chief army surgeon, medical officer
överkonstapel	ylikonstaapeli	police inspector
ölkusk	olutkuski	beer transporter
överförmyndare	yliholhooja	chief guardian
överste	eversti	colonel
överstelöjtnant	everstiluutnantti	lieutenant-colonel
